sample-id	Tissue	Time-Point	TxTP	TxTP_num	forward-absolute-filepath	reverse-absolute-filepath
AO-Hands-Day11	Hands	Hands	Hands	1	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/AO_Hands_Day11_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/AO_Hands_Day11_R2.fastq.gz
AO-Hands-Day21	Hands	Hands	Hands	1	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/AO_Hands_Day21_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/AO_Hands_Day21_R2.fastq.gz
Bench11	Bench	Bench	Bench	2	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bench11_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bench11_R2.fastq.gz
Bench-Day21	Bench	Bench	Bench	2	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bench_Day21_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bench_Day21_R2.fastq.gz
Bucket-Water1	Water	Water	Water	3	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bucket_Water1_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bucket_Water1_R2.fastq.gz
Bucket-Water-after-dissection2	Water	Water	Water	3	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bucket_Water_after_dissection2_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Bucket_Water_after_dissection2_R2.fastq.gz
Egg-Case0A	Egg-Case	stg0	EC0	4	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0A_R2.fastq.gz
Egg-Case0B	Egg-Case	stg0	EC0	4	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0B_R2.fastq.gz
Egg-Case0C	Egg-Case	stg0	EC0	4	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0C_R2.fastq.gz
Egg-Case0D	Egg-Case	stg0	EC0	4	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case0D_R2.fastq.gz
Egg-Case16A	Egg-Case	stg16	EC16	5	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16A_R2.fastq.gz
Egg-Case16B	Egg-Case	stg16	EC16	5	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16B_R2.fastq.gz
Egg-Case16C	Egg-Case	stg16	EC16	5	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16C_R2.fastq.gz
Egg-Case16D	Egg-Case	stg16	EC16	5	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case16D_R2.fastq.gz
Egg-Case26A	Egg-Case	stg26	EC26	6	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26A_R2.fastq.gz
Egg-Case26B	Egg-Case	stg26	EC26	6	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26B_R2.fastq.gz
Egg-Case26C	Egg-Case	stg26	EC26	6	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26C_R2.fastq.gz
Egg-Case26D	Egg-Case	stg26	EC26	6	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case26D_R2.fastq.gz
Egg-Case30A	Egg-Case	stg30	EC30	7	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30A_R2.fastq.gz
Egg-Case30B	Egg-Case	stg30	EC30	7	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30B_R2.fastq.gz
Egg-Case30C	Egg-Case	stg30	EC30	7	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30C_R2.fastq.gz
Egg-Case30D	Egg-Case	stg30	EC30	7	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case30D_R2.fastq.gz
Egg-Case33A	Egg-Case	stg33	EC33	8	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33A_R2.fastq.gz
Egg-Case33B	Egg-Case	stg33	EC33	8	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33B_R2.fastq.gz
Egg-Case33C	Egg-Case	stg33	EC33	8	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33C_R2.fastq.gz
Egg-Case33D	Egg-Case	stg33	EC33	8	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Egg_Case33D_R2.fastq.gz
Gill26A	Gill	stg26	G26	9	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26A_R2.fastq.gz
Gill26B	Gill	stg26	G26	9	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26B_R2.fastq.gz
