sample-id	Tissue	Time-Point	TxTP	TxTP_num	forward-absolute-filepath	reverse-absolute-filepath
Gill26A	Gill	stg26	G26	9	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26A_R2.fastq.gz
Gill26B	Gill	stg26	G26	9	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26B_R2.fastq.gz
Gill26C	Gill	stg26	G26	9	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26C_R2.fastq.gz
Gill26D	Gill	stg26	G26	9	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill26D_R2.fastq.gz
Gill30A	Gill	stg30	G30	10	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30A_R2.fastq.gz
Gill30B	Gill	stg30	G30	10	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30B_R2.fastq.gz
Gill30C	Gill	stg30	G30	10	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30C_R2.fastq.gz
Gill30D	Gill	stg30	G30	10	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Gill30D_R2.fastq.gz
Tail-Skin26A	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26A_R2.fastq.gz
Tail-Skin26B	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26B_R2.fastq.gz
Tail-Skin26C	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26C_R2.fastq.gz
Tail-Skin26D	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26D_R2.fastq.gz
Tail-Skin30A	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30A_R2.fastq.gz
Tail-Skin30B	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30B_R2.fastq.gz
Tail-Skin30C	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30C_R2.fastq.gz
Tail-Skin30D	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30D_R2.fastq.gz
Tail-Skin33A	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33A_R2.fastq.gz
Tail-Skin33B	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33B_R2.fastq.gz
Tail-Skin33C	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33C_R2.fastq.gz
Tail-Skin33D	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33D_R2.fastq.gz
