Site	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17	PC18	PC19
Egg-Case0A	-0.049557033	0.032295475	-0.143638426	-0.026816455	0.065435717	0.04127715	0.150400463	0.07606865	-0.105846637	0.038697699	0.143064161	0.017820572	-0.007746428	0.017366841	-0.023212666	0.018942974	-0.030585416	0.018542097	-0.011549334
Egg-Case0B	-0.114965526	0.280147518	0.047072099	-0.251111837	-0.059879138	-0.210663602	0.038212923	0.014806239	0.018092425	-0.024179652	0.008735922	-0.024906895	0.003523407	-0.008215392	0.000902816	-0.006743987	0.005664708	0.00047331	0.003188918
Egg-Case0C	-0.078167698	0.38021219	0.128501527	-0.122017609	0.145483337	0.191835259	-0.029275272	-0.01288143	0.018640409	-0.0253681	-0.032145976	0.004889767	-0.001986255	0.000905586	0.000587175	-0.001050614	0.002677946	-0.003221752	0.001656984
Egg-Case0D	-0.043381706	0.445440552	-0.029621119	0.323668903	-0.061141255	-0.048916564	0.003964968	-0.0016417	-0.011667631	0.00760548	-0.009857346	-0.012341124	0.003703525	-0.004906543	0.007003038	0.005794091	0.001361683	0.001512215	0.001552201
Egg-Case16A	-0.073389081	-0.064025686	-0.098284129	0.012985204	0.112978394	-0.069487078	-0.001490144	-0.046632454	-0.007778035	0.007679367	-0.039226219	0.156011289	-0.081825637	-0.044051494	0.038030118	0.023952818	0.039699502	-0.018524087	0.027483096
Egg-Case16B	-0.117085701	-0.046357358	-0.128323067	-0.010643257	0.061097114	-0.037154419	-0.119825207	-0.033555931	-0.079270374	0.008355632	-0.040338567	0.032349902	0.113501383	0.019767561	-0.036655816	-0.083745349	-0.0274335	0.039160967	0.010983805
Egg-Case16C	0.245578937	0.010203493	-0.189765339	-0.068989762	-0.051473941	0.04646542	-0.070079188	0.028747316	-0.046315571	0.002301924	-0.003959901	-0.045460323	0.074799527	-0.045693168	0.046702905	0.055439718	0.061687148	-0.048666565	-0.030882421
Egg-Case16D	-0.038013482	-0.015920453	-0.204291964	-0.017564382	0.009322342	0.012440451	-0.116772999	0.07289484	0.144768828	0.04075285	0.021588403	-0.061739974	-0.10186887	0.036324173	-0.016268981	-0.014796449	-0.01934943	0.010431017	0.007759253
Egg-Case26A	-0.159502556	-0.118999668	0.022610511	0.022103643	0.037047959	-0.031332756	-0.011339416	-0.044897219	-0.053557632	-0.053959585	-0.053493261	-0.040926262	-0.039859455	-0.001315107	0.026613559	0.018486879	-0.097585558	-0.058786652	-0.069085327
Egg-Case26B	-0.150966769	-0.131219899	0.040700506	0.018248112	-0.003297386	0.00904817	0.008965118	-0.013746721	-0.050834633	-0.025633082	-0.001494176	-0.073530112	0.013876754	0.05929011	0.014871019	0.03869353	-0.001658649	-0.040822331	0.11741964
Egg-Case26C	-0.147571829	-0.119877324	0.021890666	0.017585576	0.004040621	-0.005982271	0.013789628	-0.060767844	-0.027523828	-0.054560772	-0.038343957	-0.037766918	-0.026394676	0.088797804	-0.00673178	0.054488765	0.071170388	0.078421406	-0.04713482
Egg-Case26D	-0.001024774	-0.062301009	-0.111705632	-0.012921284	-0.089571833	0.070793993	0.190033005	0.015553002	0.081195246	-0.019097763	-0.11878591	0.020852247	0.026512267	0.024229394	0.001850578	-0.061817098	0.003780438	-0.017517442	-0.001033531
Egg-Case30A	-0.14295758	-0.099779442	0.062760604	0.041772041	-0.050804777	0.025058474	-0.031782496	-0.018864167	0.101611413	-0.123182033	0.140919775	0.057888095	0.053085586	0.00731893	0.07229408	-0.027263952	0.000291115	-0.002115062	-0.010273139
Egg-Case30B	-0.149684124	-0.098970478	0.181053909	0.002875483	-0.107699149	0.026367009	-0.061996602	0.206125523	-0.06231274	0.063595452	-0.040893403	0.059392928	-0.016587885	0.006340444	0.017619387	-0.00396404	0.005389871	0.005616928	-0.009902252
Egg-Case30C	-0.154042959	-0.044897184	0.062524919	-0.037747661	-0.110502062	0.051061439	-7.47E-05	-0.169799886	0.000644738	0.185933316	0.04237062	-0.011836223	-0.01461909	-0.026805045	0.013324541	-0.01745256	0.00280064	-0.000294212	-0.006960452
Egg-Case30D	-0.147163598	-0.11085234	0.045891156	0.036554442	-0.02770106	0.013693091	-0.005385316	-0.001680179	0.031880758	-0.057062951	0.019232224	0.000241875	0.005435572	-0.089069157	-0.158961412	0.022245387	0.023142851	-0.024150929	-0.002399412
Egg-Case33A	0.162429878	-0.126817321	0.060057085	0.038501819	0.063165829	-0.004517213	0.038440444	0.02327886	-0.03144633	-0.033209559	-0.006633142	-0.09754531	-0.038859197	-0.121962684	0.052589672	-0.059863543	0.008636212	0.054846629	0.017751487
Egg-Case33B	0.202249298	-0.112463665	0.135560028	0.071279439	0.174525152	-0.087040883	0.03904374	0.036588581	0.100689519	0.106319408	0.005189503	-0.019489794	0.076205765	0.033638011	-0.005892237	0.012512935	0.013827833	-0.023816806	-0.020300844
Egg-Case33C	0.571084817	0.013468807	0.077572646	-0.005259841	-0.041820289	-0.005982421	-0.028022602	-0.043196619	-0.067879001	-0.038502129	0.035924624	0.024446442	-0.068756467	0.067820895	-0.039247336	-0.064506987	0.015810465	-0.032117335	-0.003348583
Egg-Case33D	0.386131486	-0.009286208	0.019434022	-0.032502574	-0.069205573	0.013036752	-0.006806332	-0.026398861	0.046909077	-0.006485501	-0.031853375	0.051649818	0.027860173	-0.019781159	-0.005418661	0.090647483	-0.079328246	0.061028602	0.025074728
