Site	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
Gill26A	-0.221915111	-0.134106841	0.109524522	0.075561021	0.04630735	0.35263319	0.109022685	0.031934582	-0.219363846	0.024948981	-0.025063311	-0.079486616	0.02596432	-0.004824733	0.006132315
Gill26B	-0.236491913	-0.129086995	-0.160577746	-0.235525455	0.362586438	-0.168163757	0.062410789	0.078993443	-0.083850981	-0.01302602	0.002945081	0.020402916	0.000812531	-7.07E-05	8.91E-05
Gill26C	-0.265063315	-0.012879659	0.113410473	-0.001833936	-0.014161772	-0.009932489	-0.310032204	-0.027652167	-0.066778012	0.061380681	0.230308504	0.0445332	0.013221092	-0.006001118	-0.003193054
Gill26D	-0.244621847	-0.071780132	0.198895086	0.209172572	-0.091793984	-0.318583788	0.182208056	-0.070781013	-0.065688031	0.110061712	-0.008802841	-0.032734274	0.008919519	-0.003576704	-0.000127565
Gill30A	-0.183578578	-0.069736906	-0.504269559	0.266082357	-0.077438584	0.022389744	-0.020701073	-0.031289518	0.015824363	0.001484694	0.00357025	0.02784577	0.013649698	-0.004459545	-0.001050255
Gill30B	-0.228138776	-0.167065377	-0.01427202	-0.23966143	-0.111112816	0.080827021	0.141767477	-0.212684998	0.195181774	-0.052272136	0.089049526	-0.068977917	0.016058285	0.004876135	-0.00344181
Gill30C	-0.26053341	-0.014745651	0.01402014	-0.144241777	-0.292134953	-0.032418301	0.026089245	0.311801721	0.004548903	-0.079797992	-0.026102317	0.055420489	-0.002950144	0.007311548	0.000801131
Gill30D	-0.237496582	-0.053844386	0.061047176	-0.089570663	-0.025308611	0.00309001	-0.224244562	-0.130939858	0.026612128	0.051644919	-0.267806638	0.038718276	-0.000179352	-0.009051944	0.008470796
Gill33A	0.50036585	-0.051457791	-0.048335054	-0.040535697	-0.054072492	-0.04749764	-0.042036501	-0.029021254	-0.071748481	0.000272595	0.018660271	-0.062235384	-0.044923741	0.07953841	0.055069429
Gill33B	0.4846106	-0.042385964	-0.038542864	-0.062126214	-0.057747536	-0.021172627	-0.041086717	-0.014610803	-0.087827595	0.025110039	-0.02911486	-0.064651425	-0.020772827	0.027173777	-0.074437237
Gill33C	0.278757864	-0.159278218	0.107088835	0.077144943	0.070173632	0.108467468	0.103627787	-0.002996657	0.092005765	0.057682894	0.017285332	0.254398051	-0.075037776	0.005162359	-0.003639652
Gill33D	0.091891957	-0.180150836	0.141883169	0.218824997	0.156724307	-0.010735873	-0.099919734	0.129589614	0.205841843	-0.138884224	-0.014832231	-0.12903024	-0.004539309	-0.005074149	-0.002051836
GillAdult1	0.32898463	0.195309437	0.028452011	-0.005396265	0.041284847	0.009048392	0.03130008	0.021171121	0.056209061	0.031713903	-0.008671447	0.058985939	0.205945571	0.011400309	0.004327552
GillAdult2	0.490722468	0.041352783	-0.033793604	-0.070337727	-0.059142267	-0.034514232	0.010131068	-0.016908389	-0.055652503	-0.032234495	0.017749482	-0.029733606	-0.025916965	-0.119137775	0.018559157
GillAdult3	-0.165920417	0.416114864	0.060710141	0.066339201	0.041540362	-0.007364069	0.034853302	-0.117623924	-0.074910167	-0.259347209	-0.004749705	0.052743533	-0.038927032	0.015405132	-0.006183576
GillAdult4	-0.131573422	0.433741673	-0.035240706	-0.023895926	0.06429608	0.073926951	0.036610301	0.081018099	0.12959578	0.211261659	0.005574904	-0.086198712	-0.07132387	0.00132902	0.000675457
