Site	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15	PC16	PC17
Internal-Water0A	-0.513190088	0.181781339	0.220515921	0.002237887	0.033531605	0.009152779	-0.065983375	-0.047178452	-0.015255592	-0.025245251	0.029151793	-0.004406052	0.081234812	-0.002992877	0.006725776	-0.053543777	0.103512044
Internal-Water0B	-0.460803787	-0.066168195	-0.143074264	-0.025382673	-0.016850722	-0.346052929	0.184561184	-0.10717738	-0.099754032	-0.021281848	-0.005857439	-0.020495005	-0.012920519	0.006403877	0.008855073	-0.002194802	-0.009546353
Internal-Water0C	-0.291976547	-0.13266397	-0.263850542	-0.077332955	-0.071967151	-0.048332563	-0.298695123	-0.118237662	0.103096228	0.060422973	-0.074599616	0.047393581	0.001088819	-0.006022217	-0.0227174	0.013178229	-0.003731425
Internal-Water0D	-0.466364957	-0.040982768	-0.105588625	-0.05484326	-0.080197898	-0.028939735	0.049381117	0.316419245	0.151297994	0.007200568	0.077390008	-0.000598749	0.053016533	-0.014018198	0.00035686	0.001154198	-0.013263576
Internal-Water16A	-0.452624387	-0.174184638	-0.296850881	-0.036371526	0.046429708	0.325463669	0.115508327	-0.039833268	-0.1086711	-0.027185085	-0.01531483	-0.026708432	-0.029869662	0.011566714	0.01241914	-0.004979845	0.007278047
Internal-Water16B	-0.524398836	0.217932528	0.297617328	-0.024666014	0.090671346	0.067842274	-0.058418714	-0.053047673	-0.047377701	-0.026325826	-0.00130844	0.015710528	0.037985471	-0.031465224	0.005241947	0.018636694	-0.099149481
Internal-Water26A	-0.15537678	0.275863794	0.139004667	-0.02499252	-0.090046867	0.014345094	0.026477255	0.058508059	0.019161593	0.081938019	-0.067374328	-0.026041384	-0.193450146	0.062185755	-0.013642525	0.047876099	0.024062418
Internal-Water26B	0.287557968	0.104296761	-0.047193214	-0.000347085	-0.185950499	0.035384561	-0.01003847	-0.132129585	0.076805	-0.133755805	0.193658828	0.03509358	-0.035387312	0.035135034	0.046453628	0.024493617	-0.004296502
Internal-Water26C	0.330922599	0.155347459	-0.045580712	0.010744335	-0.084272389	0.038091091	0.114231104	-0.0565385	0.044204655	0.129309769	-0.028594554	0.040806907	0.003688296	-0.161475588	0.075654542	-0.024760647	0.002619865
Internal-Water26D	0.29063891	0.097533827	-0.071385474	-0.09563992	0.31301656	-0.008908585	0.079190159	-0.063057302	0.189263461	-0.038745345	0.009609242	-0.033216468	-0.035815147	-0.008603877	-0.094907852	-0.031014433	-0.002592537
Internal-Water30A	0.013010511	-0.043480165	-0.057158424	0.576643137	0.098575584	-0.021342325	-0.049458286	0.031852784	0.001497469	0.007890972	0.014884594	0.001581657	-0.023575909	0.003139389	0.00366099	-0.000597856	-0.004026618
Internal-Water30B	0.308928971	0.03758108	-0.002291355	-0.000290693	-0.150633065	-0.009800249	-0.034385032	0.102151756	-0.108421602	-0.173806136	-0.103629892	0.060023004	-0.028734594	-0.064446462	-0.090824209	-0.036667976	-0.000373803
Internal-Water30C	0.327983998	-0.016800917	-0.018110895	-0.088751617	0.186867968	-0.046216405	-0.044835395	0.083288361	0.000797362	-0.099389346	-0.107959754	0.012765077	0.023088608	0.025261661	0.147073863	0.050914233	0.016371439
Internal-Water30D	0.342718877	0.120608214	-0.045480419	0.035720937	-0.091115896	0.029663229	0.053199176	-0.032441925	-0.028690031	0.038046129	-0.034469953	-0.103683725	0.15620384	0.020897574	-0.074002332	0.093474061	0.010936871
Internal-Water33A	0.349465835	0.088827753	-0.023426784	-0.014968336	-0.082944717	0.014467937	0.012358018	0.009373241	-0.012003482	0.070167631	-0.04749038	-0.004946105	0.054280941	0.141005343	0.030053122	-0.106873272	-0.037548791
Internal-Water33B	0.057358438	-0.529152456	0.371881435	0.009650708	-0.065238115	0.033489564	0.104127441	-0.056580552	0.095988101	0.012729115	-0.042725247	0.058416998	0.004990508	0.017898372	-0.014778824	0.012806439	0.00549773
Internal-Water33C	0.262696934	-0.228999718	0.103931972	-0.086401745	0.004906356	-0.031993043	-0.139344593	0.038525986	-0.087500579	0.026504783	0.081022814	-0.206386263	-0.054886616	-0.051456541	0.016109992	-0.025750352	-0.00707649
Internal-Water33D	0.293452342	-0.04733993	-0.012959733	-0.105008658	0.145218194	-0.026314361	-0.037874793	0.066102865	-0.174437742	0.111524684	0.123607155	0.154690849	-0.000937924	0.016987266	-0.041731791	0.02384939	0.011327163
