Site	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	PC14	PC15
Tail-Skin26A	-0.0473473	-0.107370317	0.679968513	0.089831197	-0.060492345	0.015139137	0.009870241	-0.008923773	-0.032408874	-0.008393289	-0.021497094	0.003303163	0.007728498	-0.002354242	-0.000662718
Tail-Skin26B	-0.249796102	0.11737353	-0.048762186	0.040781021	-0.123773744	0.147486118	0.116145816	0.282476512	-0.046053571	-0.074504515	0.200562219	-0.062985528	-0.007791203	0.001539851	0.000234919
Tail-Skin26C	-0.247893154	0.106352149	-0.086852089	0.222663409	-0.104499495	-0.033438104	-0.197898764	0.120660657	-0.00846907	0.209415184	-0.148143446	-0.106404856	0.00269252	-0.001791606	0.000599444
Tail-Skin26D	-0.138698017	-0.417626813	-0.096881343	0.128226804	0.111420152	-0.303682263	0.209323204	0.035356697	0.016159726	-0.019231207	-0.009920987	-0.066239831	-0.002643625	-0.000171525	0.000255406
Tail-Skin30A	-0.159652065	-0.080577783	-0.01356431	-0.431460011	-0.332920351	-0.166101619	-0.091533762	-0.020662988	0.040973124	-0.004155215	0.021765374	-0.003046316	-0.00645298	0.001604928	9.55E-05
Tail-Skin30B	-0.254993222	0.067073526	-0.0888505	-0.073300016	-0.102973991	0.199560883	0.258957628	-0.056089505	0.027863466	-0.034338286	-0.243118648	0.021866326	-0.001576957	0.001493166	0.000364709
Tail-Skin30C	-0.035760576	-0.606591548	-0.105961978	-0.056300002	0.0972318	0.246559367	-0.146923795	0.00297147	-0.027003941	0.033213869	0.022887903	0.050730556	0.004292606	-0.000798082	-0.000122295
Tail-Skin30D	-0.214764118	0.039093044	-0.134616524	0.34631516	-0.222996447	-0.01535993	-0.070960442	-0.224730057	0.022656741	-0.129021731	0.084676459	0.078798247	0.00474915	-0.000799223	-0.00014133
Tail-Skin33A	-0.26839994	0.171662463	-0.013969341	-0.023069949	0.137061061	-0.112595371	5.74E-05	0.127359082	-0.055585879	0.074885022	-0.005810232	0.2668511	0.002052505	0.000600406	-0.003100453
Tail-Skin33B	-0.253860478	0.160646193	-0.019053614	-0.109153715	0.136583999	0.019456059	0.062813625	-0.220646997	-0.247125339	0.139995859	0.102784101	-0.077382306	-0.015095973	0.004748091	0.000933936
Tail-Skin33C	-0.250944016	0.143404511	0.050468405	-0.051152431	0.189312108	0.048572891	0.007686702	-0.073196629	0.350472931	0.085293718	0.094839243	-0.032140461	0.003468251	3.10E-05	-0.000302257
Tail-Skin33D	-0.260688331	0.157047933	-0.003251201	-0.085276905	0.249224912	-0.036020442	-0.17888426	0.026076144	-0.044721232	-0.273550652	-0.092920006	-0.069827961	-0.002531249	-0.000398171	0.00089798
Tail-SkinAdult1	0.54517564	0.078288333	-0.047503301	-0.026754859	0.008181446	-0.007338377	0.018957408	0.001267428	-0.017197419	0.002784655	0.008986862	-0.006347202	0.176711656	-0.024912707	0.017760721
Tail-SkinAdult2	0.619633191	0.055440096	-0.028492744	0.009277904	0.004060686	-0.001168726	-0.000811968	0.002275655	0.003523952	-0.004366896	-0.006153399	-0.010909501	0.016299196	0.071501102	-0.036863998
Tail-SkinAdult3	0.621559304	0.052149426	-0.009442437	0.020854043	0.008266494	-0.003344914	-0.004131693	0.009146922	0.015497134	0.001502326	-0.007109012	0.016845999	-0.101703233	0.031281374	0.041734409
Tail-SkinAdult4	0.596429185	0.063635258	-0.033235351	-0.001481649	0.006313716	0.002275289	0.007332656	-0.003340618	0.001418251	0.000471159	-0.001829335	-0.00311143	-0.080199161	-0.081574378	-0.021683966
