sample-id	Tissue	Time-Point	TxTP	TxTP_num	forward-absolute-filepath	reverse-absolute-filepath
Internal-Water0A	Internal-Water	stg0	IW0	13	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0A_R2.fastq.gz
Internal-Water0B	Internal-Water	stg0	IW0	13	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0B_R2.fastq.gz
Internal-Water0C	Internal-Water	stg0	IW0	13	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0C_R2.fastq.gz
Internal-Water0D	Internal-Water	stg0	IW0	13	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water0D_R2.fastq.gz
Internal-Water16A	Internal-Water	stg16	IW16	14	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water16A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water16A_R2.fastq.gz
Internal-Water16B	Internal-Water	stg16	IW16	14	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water16B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water16B_R2.fastq.gz
Internal-Water26A	Internal-Water	stg26	IW26	15	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26A_R2.fastq.gz
Internal-Water26B	Internal-Water	stg26	IW26	15	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26B_R2.fastq.gz
Internal-Water26C	Internal-Water	stg26	IW26	15	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26C_R2.fastq.gz
Internal-Water26D	Internal-Water	stg26	IW26	15	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water26D_R2.fastq.gz
Internal-Water30A	Internal-Water	stg30	IW30	16	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30A_R2.fastq.gz
Internal-Water30B	Internal-Water	stg30	IW30	16	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30B_R2.fastq.gz
Internal-Water30C	Internal-Water	stg30	IW30	16	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30C_R2.fastq.gz
Internal-Water30D	Internal-Water	stg30	IW30	16	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water30D_R2.fastq.gz
Internal-Water33A	Internal-Water	stg33	IW33	17	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33A_R2.fastq.gz
Internal-Water33B	Internal-Water	stg33	IW33	17	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33B_R2.fastq.gz
Internal-Water33C	Internal-Water	stg33	IW33	17	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33C_R2.fastq.gz
Internal-Water33D	Internal-Water	stg33	IW33	17	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Internal_Water33D_R2.fastq.gz
