sample-id	Tissue	Time-Point	TxTP	TxTP_num	forward-absolute-filepath	reverse-absolute-filepath
Tail-Skin26A	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26A_R2.fastq.gz
Tail-Skin26B	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26B_R2.fastq.gz
Tail-Skin26C	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26C_R2.fastq.gz
Tail-Skin26D	Tail-Skin	stg26	S26	21	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin26D_R2.fastq.gz
Tail-Skin30A	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30A_R2.fastq.gz
Tail-Skin30B	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30B_R2.fastq.gz
Tail-Skin30C	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30C_R2.fastq.gz
Tail-Skin30D	Tail-Skin	stg30	S30	22	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin30D_R2.fastq.gz
Tail-Skin33A	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33A_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33A_R2.fastq.gz
Tail-Skin33B	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33B_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33B_R2.fastq.gz
Tail-Skin33C	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33C_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33C_R2.fastq.gz
Tail-Skin33D	Tail-Skin	stg33	S33	23	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33D_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_Skin33D_R2.fastq.gz
Tail-SkinAdult1	Tail-Skin	stgAdult	SAd	24	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult1_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult1_R2.fastq.gz
Tail-SkinAdult2	Tail-Skin	stgAdult	SAd	24	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult2_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult2_R2.fastq.gz
Tail-SkinAdult3	Tail-Skin	stgAdult	SAd	24	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult3_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult3_R2.fastq.gz
Tail-SkinAdult4	Tail-Skin	stgAdult	SAd	24	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult4_R1.fastq.gz	/Users/kmmika/Desktop/DMW_LSM_Bv4v5/Tail_SkinAdult4_R2.fastq.gz
