ID,EC0A,EC0B,EC0C,EC0D,EC16A,EC16B,EC16C,EC16D,EC26A,EC26B,EC26C,EC26D,EC30A,EC30B,EC30C,EC30D,EC33A,EC33B,EC33C,EC33D,IL0A,IL0B,IL0C,IL0D,IL16A,IL16B,IL26A,IL26B,IL26C,IL26D,IL30A,IL30B,IL30C,IL30D,IL33A,IL33B,IL33C,IL33D
Firmicutes,0.149213879,0.237890874,0.111378201,0.141672214,0.164774519,0.046626266,0.031955565,0.094645851,0.063105924,0.103602895,0.127196547,0.056303284,0.069518496,0.11786247,3.808587883,5.19110178,4.82713894,7.132982969,10.56576807,1.691957342,0.480802506,0.642594352,0.060634151,0.282950347,0.718028559,0.074655573,0.046682922,0.121844882,0.076591378,0.021077256,0.011987348,0,0.156429652,0.035812635,0.04089456,0.023258233,0.127255709,0.345215969
Gammaproteobacteria_Unknown_Order,1.055073542,0.356735677,0.43359751,0.488189916,0.934581993,0.674178219,2.815654868,0.903782405,0.493839675,0.602246026,0.6199064,1.200690485,0.556049501,0.543984678,0,0.003243546,0.127525084,0.019354212,0.021816362,0,0.576176161,0.530151058,1.083886448,3.108602591,0.273392467,0.919961038,0.349903713,0.503511518,2.143384537,1.781395475,5.302150401,3.761692838,0.574466535,2.04752517,1.010272146,0.087543707,0.802023891,1.293510208
SAR11_clade_Clade_I,0.042524783,0.08340296,0.083276687,0.117542873,0.024195565,0.009923512,0,0.021283069,0.015116191,0.012278827,0.015401569,0.021270441,0.008681929,0.002887557,0,0,0.469961876,0.855980973,0,0,0,0.240610523,0.013474321,0,0,0,0.127537098,0.248237753,0.020967385,0.078604255,0.01666746,0.024362562,1.12220227,1.364223583,0.471290272,23.68523511,6.787540233,2.015318361
Bacilli,0.266901406,0.062860523,0.082490928,0.186099182,0.143721936,0.077527948,0,0.08102015,0.066254971,0.136261324,0.100633516,0.047333948,0.124348917,0.143556922,4.71307831,9.285412113,5.044932511,5.402135215,6.473209723,2.496379672,0.250761409,0.635808456,0.044658746,0.17035199,0.677605462,0.127412441,0.048120455,0.155675597,0.076243708,0.037701247,0.00982731,0,0,0.064058669,0.073148796,0.041602397,0.227624453,0.425239649
Clostridiales,0,0.322740675,0.084230833,0.091069181,0.136677179,0,0.077333031,0.083437313,0.013279936,0.008848842,0.102605557,0.038150849,0,0.022196725,2.840361824,0,4.856296215,9.953207406,16.8115138,0,0.811721403,0.340983146,0.010788963,0.177031441,0.465368042,0.008287069,0,0.08424782,0.020953058,0,0,0,0.378562515,0,0,0,0,0.260107181
Alphaproteobacteria,0.89578935,0.694434785,0.520085178,0.437924766,0.822669701,1.026777703,1.069712738,1.321308189,0.734816849,0.796257167,0.799044104,1.083104394,1.489979672,1.100634156,0.094988744,0.268280578,0.917058395,0.391652964,0.289400315,0.115768856,0.322615335,0.880948022,0.789424644,0.895071554,3.644874921,0.959169447,0.637818219,0.933354029,0.679412703,0.737041869,0.591396639,0.609137779,0.995834638,1.067091889,1.069740312,4.562566161,2.250504518,1.504308715
Verrucomicrobiae,0.785461364,2.632341053,1.920586395,0.424218784,0.992942016,1.070785278,0.672409042,0.508302855,1.056251051,1.230315695,1.126327953,0.761900079,0.801745825,0.828936473,0,0,0.797196982,0,0,0,0.705819753,1.317590357,0.544044269,0.309875306,0.375667776,0.994977408,3.161964099,3.721673515,1.010317669,1.033464901,0.123567852,0.847725556,2.578666471,2.99161622,1.012579069,0.167914767,0.764650573,0.728163599
Vibrionaceae,1.081746364,2.775029326,3.303881236,1.232494841,0.577093423,1.113633542,0.238732441,0.627020489,0.209639622,0.214711179,0.359946492,0.040628857,0.096331922,0.184936264,0.07896668,0,1.142669963,0,0,0,0.963146837,1.37063572,0.864870782,0.430624805,0.387116461,0.513144554,0.176327599,0.489496795,0.12721777,0.285607634,0.396462556,0,1.695345211,2.394286895,1.509641722,6.866511922,3.534017781,2.718082314
Colwellia,1.285929439,1.957244706,19.90142294,3.559690522,0.230715776,0.572761888,0.801282824,0.850426015,0.241604834,0.214654969,0.304284976,0.322259962,0.38666297,0.199993267,0,0,0.307847387,0.162356169,0,0,0.52034746,0,0.620665751,0.295166087,0.313193631,0.1493427,0.119439051,0.42150501,0.181525283,0.12577024,0.034556122,0.705147134,0.275631167,0.531600222,0.434475381,0,1.088310763,0.884185351
Rhodobacteraceae,1.43559535,1.14187242,0.699549657,0.773764259,1.066798889,1.651227324,2.298286173,2.517840143,1.097654684,1.078215335,1.004409206,1.441865729,1.037231681,1.990589075,0.087048474,0.174473067,0.878911883,0.079320996,0.20955938,0.005507742,0.537296308,1.243992799,1.235081885,1.531138176,0.354743332,1.24913771,0.688389927,1.151004229,0.58353561,0.68130915,0.194346889,0.89289934,0.965865413,1.079592896,1.429452847,0.21977448,1.18612097,2.106596574
